temp,cs,signal,snr,distn,distf,refp
30.2,2673,0.315018,67,379.8651,0.0,1.2
30.2,266f,0.318708,67,382.397,0.0,1.2
30.2,266e,0.32217,67,384.7718,0.0,1.2
30.2,2670,0.326071,67,387.4476,0.0,1.2
30.2,2662,0.329514,67,389.81,0.0,1.2
30.2,2672,0.332411,67,391.7969,0.0,1.2
30.2,2672,0.335433,67,393.8701,0.0,1.2
30.2,2686,0.338523,67,395.9898,0.0,1.2
30.2,2668,0.34094,66,397.6482,0.0,1.2
30.2,267b,0.343489,66,399.3963,0.0,1.2
30.2,2655,0.34632,66,401.3387,0.0,1.2
30.2,2651,0.349023,66,403.1928,0.0,1.2
30.2,2664,0.351994,66,405.2314,0.0,1.2
30.2,2668,0.355079,66,407.3471,0.0,1.2
30.2,2663,0.358733,66,409.8541,0.0,1.2
30.2,2660,0.361956,66,412.0654,0.0,1.2
30.2,265b,0.36449,66,413.8037,0.0,1.2
30.2,2661,0.366611,66,415.2586,0.0,1.2
30.2,266c,0.368513,66,416.5632,0.0,1.2
30.2,2663,0.370381,66,417.8448,0.0,1.2
30.2,266e,0.372851,66,419.5393,0.0,1.2
30.2,265d,0.375225,66,421.2065,0.0,1.2
30.2,266b,0.377928,66,423.1068,0.0,1.2
30.1,2658,0.380965,66,425.2425,0.0,1.2
30.2,2668,0.381316,66,425.4892,0.0,1.2
30.2,265c,0.379206,66,424.0053,0.0,1.2
30.2,265c,0.380991,66,425.2606,0.0,1.2
30.1,2672,0.384871,66,427.989,0.0,1.2
30.2,2658,0.389444,66,431.2042,0.0,1.2
30.1,2655,0.394011,66,434.4154,0.0,1.2
30.1,266c,0.398516,65,437.5823,0.0,1.2
30.1,2664,0.402769,65,440.5729,0.0,1.2
30.1,2658,0.407303,65,443.7607,0.0,1.2
30.1,2661,0.412417,65,447.3568,0.0,1.2
30.1,2657,0.418032,65,451.3042,0.0,1.2
30.1,266a,0.42368,65,455.2758,0.0,1.2
30.1,2662,0.429181,65,459.1435,0.0,1.2
30.1,2665,0.434056,65,462.5713,0.0,1.2
30.1,2665,0.438083,65,465.4029,0.0,1.2
30.1,266c,0.442099,65,468.2266,0.0,1.2
30.1,266c,0.445607,65,470.6928,0.0,1.2
30.1,266f,0.448871,64,472.988,0.0,1.2
30.1,2660,0.452043,64,475.2183,0.0,1.2
30.1,265f,0.456314,64,478.2209,0.0,1.2
30.1,265f,0.460254,64,481.0158,0.0,1.2
